HPV,neg,Emotion,CatHPV,anger,fear,HPVAngerIA,HPVFearIA,PRE_1,RES_1
4.52,19,fear,3,0,1,0,4.52,22.45217251,-3.452172507
3.08,14,control,2,0,0,0,0,8.036817499,5.963182501
5.14,22,anger,4,1,0,5.14,0,23.14480904,-1.144809041
4.66,25,fear,3,0,1,0,4.66,22.65326729,2.346732714
4.61,13,control,3,0,0,0,0,8.972761501,4.027238499
8.98,30,anger,4,1,0,8.98,0,31.01785174,-1.017851739
2.45,20,fear,1,0,1,0,2.45,19.47884256,0.521157439
1.52,6,control,1,0,0,0,0,7.082521654,-1.082521654
3.33,25,fear,2,0,1,0,3.33,20.74286689,4.257133114
6.34,24,fear,4,0,1,0,6.34,25.06640463,-1.066404634
0.95,11,anger,1,1,0,0.95,0,14.55417131,-3.554171305
3.14,10,control,2,0,0,0,0,8.073521185,1.926478815
4.29,9,control,3,0,0,0,0,8.777008507,0.222991493
3.81,22,anger,3,1,0,3.81,0,20.4179479,1.582052102
4.31,20,anger,3,1,0,4.31,0,21.44308367,-1.443083666
0.09,11,anger,1,1,0,0.09,0,12.79093778,-1.790937784
4.75,22,fear,4,0,1,0,4.75,22.7825425,-0.782542501
3.6,7,control,2,0,0,0,0,8.354916114,-1.354916114
1.34,9,control,1,0,0,0,0,6.972410595,2.027589405
1.29,9,control,1,0,0,0,0,6.94182419,2.05817581
4.1,26,fear,3,0,1,0,4.1,21.84888817,4.15111183
0.52,19,anger,1,1,0,0.52,0,13.67255454,5.327445455
4.31,27,fear,3,0,1,0,4.31,22.15053034,4.849469661
2.14,17,anger,1,1,0,2.14,0,16.99399443,0.006005567
6.33,6,control,4,0,0,0,0,10.02493384,-4.024933842
2.56,21,fear,1,0,1,0,2.56,19.6368456,1.363154398
9.28,30,fear,4,0,1,0,9.28,29.28939499,0.710605008
0.37,17,fear,1,0,1,0,0.37,16.4911487,0.508851298
-0.13,19,fear,1,0,1,0,-0.13,15.77295306,3.227046937
9.29,16,control,4,0,0,0,0,11.83564903,4.164350965
6.86,9,control,4,0,0,0,0,10.34914974,-1.349149738
2.81,6,control,2,0,0,0,0,7.871650911,-1.871650911
1.91,22,fear,1,0,1,0,1.91,18.70319127,3.296808729
5.77,21,anger,4,1,0,5.77,0,24.43648011,-3.436480108
3.06,18,fear,2,0,1,0,3.06,20.35504124,-2.355041241
7.08,27,fear,4,0,1,0,7.08,26.12933418,0.87066582
3.51,18,fear,2,0,1,0,3.51,21.00141732,-3.001417316
5.89,13,control,4,0,0,0,0,9.755773476,3.244226524
7.79,15,control,4,0,0,0,0,10.91805688,4.081943123
3.21,11,control,2,0,0,0,0,8.116342153,2.883657847
4.69,22,fear,3,0,1,0,4.69,22.69635902,-0.696359025
3.25,22,anger,2,1,0,3.25,0,19.26979584,2.730204162
5.79,5,control,4,0,0,0,0,9.694600665,-4.694600665
3.88,20,fear,3,0,1,0,3.88,21.53288209,-1.532882089
7.02,7,control,4,0,0,0,0,10.44702624,-3.447026235
2.59,11,control,2,0,0,0,0,7.737070727,3.262929273
1.42,12,anger,1,1,0,1.42,0,15.51779893,-3.517798927
3.58,15,anger,2,1,0,3.58,0,19.94638544,-4.946385445
4.21,19,anger,3,1,0,4.21,0,21.23805651,-2.238056512
-0.96,8,fear,1,0,1,0,-0.96,14.5807483,-6.580748302
4.62,24,anger,3,1,0,4.62,0,22.07866784,1.921332158
4.18,25,fear,3,0,1,0,4.18,21.96379947,3.036200527
3.75,23,fear,2,0,1,0,3.75,21.34615122,1.653848777
4.61,16,anger,3,1,0,4.61,0,22.05816513,-6.058165127
4.14,24,anger,3,1,0,4.14,0,21.0945375,2.905462495
4.66,21,fear,3,0,1,0,4.66,22.65326729,-1.653267286
1.37,15,anger,1,1,0,1.37,0,15.41528535,-0.41528535
5.73,30,anger,4,1,0,5.73,0,24.35446925,5.645530753
3.31,21,anger,2,1,0,3.31,0,19.39281213,1.60718787
0.29,9,anger,1,1,0,0.29,0,13.20099209,-4.200992091
2.54,20,fear,1,0,1,0,2.54,19.60811778,0.391882224
2.42,19,fear,1,0,1,0,2.42,19.43575082,-0.435750823
1.57,15,anger,1,1,0,1.57,0,15.82533966,-0.825339657
4.71,25,anger,3,1,0,4.71,0,22.26319228,2.73680772
4.93,23,fear,4,0,1,0,4.93,23.04109293,-0.041092931
3.94,19,anger,3,1,0,3.94,0,20.6844832,-1.684483198
4.01,22,fear,3,0,1,0,4.01,21.71961296,0.280387045
3.12,18,anger,2,1,0,3.12,0,19.00326054,-1.003260538
3.54,9,control,2,0,0,0,0,8.318212428,0.681787572
5.2,27,anger,4,1,0,5.2,0,23.26782533,3.732174667
2.35,20,anger,1,1,0,2.35,0,17.42455146,2.575448545
4.1,11,control,3,0,0,0,0,8.660780167,2.339219833
1.35,10,anger,1,1,0,1.35,0,15.37427992,-5.374279919
4.32,9,control,3,0,0,0,0,8.79536035,0.20463965
6.94,29,anger,4,1,0,6.94,0,26.83529781,2.164702195
2.63,24,fear,2,0,1,0,2.63,19.73739299,4.262607009
1.69,21,anger,1,1,0,1.69,0,16.07137224,4.928627758
0.23,2,control,1,0,0,0,0,6.293392398,-4.293392398
4.43,10,control,3,0,0,0,0,8.862650442,1.137349558
2.77,25,fear,2,0,1,0,2.77,19.93848777,5.06151223
5.32,6,control,4,0,0,0,0,9.407088456,-3.407088456
7.44,30,anger,4,1,0,7.44,0,27.86043357,2.139566427
1.71,18,anger,1,1,0,1.71,0,16.11237767,1.887622328
2.4,15,fear,1,0,1,0,2.4,19.407023,-4.407022997
3.3,9,control,2,0,0,0,0,8.171397682,0.828602318
1.61,19,anger,1,1,0,1.61,0,15.90735052,3.092649481
6.64,29,anger,4,1,0,6.64,0,26.22021634,2.779783655
0.93,21,anger,1,1,0,0.93,0,14.51316587,6.486834126
2.9,18,fear,2,0,1,0,2.9,20.12521864,-2.125218636
4.05,21,anger,3,1,0,4.05,0,20.91001307,0.089986934
8.13,30,anger,4,1,0,8.13,0,29.27512093,0.724879067
2.09,23,fear,1,0,1,0,2.09,18.9617417,4.038258299
0.65,14,anger,1,1,0,0.65,0,13.93908984,0.060910156
4.46,24,anger,3,1,0,4.46,0,21.7506244,2.249375604
0.63,16,fear,1,0,1,0,0.63,16.86461043,-0.864610435
2.65,8,control,2,0,0,0,0,7.773774414,0.226225586
6.68,23,fear,4,0,1,0,6.68,25.55477767,-2.554777669
5.93,22,fear,4,0,1,0,5.93,24.47748421,-2.47748421
2.95,15,anger,2,1,0,2.95,0,18.65471438,-3.654714377
3.85,2,control,3,0,0,0,0,8.50784814,-6.50784814
3.94,17,anger,3,1,0,3.94,0,20.6844832,-3.684483198
1.99,17,anger,1,1,0,1.99,0,16.6864537,0.313546298
1.95,4,control,1,0,0,0,0,7.34556474,-3.34556474
4.1,20,fear,3,0,1,0,4.1,21.84888817,-1.84888817
6.33,29,fear,4,0,1,0,6.33,25.05204072,3.947959279
4.39,21,fear,3,0,1,0,4.39,22.26544164,-1.265441641
7.54,14,control,4,0,0,0,0,10.76512485,3.23487515
2.67,7,control,2,0,0,0,0,7.786008976,-0.786008976
3.54,22,fear,2,0,1,0,3.54,21.04450905,0.955490945
1.02,16,anger,1,1,0,1.02,0,14.69769031,1.302309687
2.18,7,control,1,0,0,0,0,7.486262204,-0.486262204
5.52,25,anger,4,1,0,5.52,0,23.92391222,1.076087776
5.6,10,control,4,0,0,0,0,9.578372325,0.421627675
2.91,19,anger,2,1,0,2.91,0,18.57270352,0.427296484
3.64,19,fear,2,0,1,0,3.64,21.18814818,-2.188148182
3.58,20,anger,2,1,0,3.58,0,19.94638544,0.053614555
2.3,16,fear,1,0,1,0,2.3,19.26338387,-3.263383869
3.54,20,anger,2,1,0,3.54,0,19.86437458,0.135625417
3.65,20,fear,2,0,1,0,3.65,21.2025121,-1.202512095
3.34,18,anger,2,1,0,3.34,0,19.45432028,-1.454320276
4.73,7,control,3,0,0,0,0,9.046168873,-2.046168873
3.44,16,anger,2,1,0,3.44,0,19.65934743,-3.65934743
3.87,25,anger,3,1,0,3.87,0,20.54096419,4.45903581
4.58,21,fear,3,0,1,0,4.58,22.53835598,-1.538355984
3.31,12,control,2,0,0,0,0,8.177514963,3.822485037
6.07,21,anger,4,1,0,6.07,0,25.05156157,-4.051561569
5.09,23,anger,4,1,0,5.09,0,23.04229546,-0.042295464
4.05,14,control,3,0,0,0,0,8.630193762,5.369806238
1.96,20,anger,1,1,0,1.96,0,16.62494556,3.375054444
4.9,22,fear,4,0,1,0,4.9,22.99800119,-0.998001193
1.42,12,control,1,0,0,0,0,7.021348844,4.978651156
3.75,5,control,2,0,0,0,0,8.44667533,-3.44667533
3.48,11,control,2,0,0,0,0,8.281508741,2.718491259
6.87,24,anger,4,1,0,6.87,0,26.6917788,-2.691778798
3.33,7,control,2,0,0,0,0,8.189749526,-1.189749526
6.36,27,fear,4,0,1,0,6.36,25.09513246,1.904867541
2.87,15,anger,2,1,0,2.87,0,18.49069265,-3.490692654
3.81,7,control,3,0,0,0,0,8.483379016,-1.483379016
0.63,20,fear,1,0,1,0,0.63,16.86461043,3.135389565
4.74,9,control,4,0,0,0,0,9.052286154,-0.052286154
3.89,19,fear,3,0,1,0,3.89,21.547246,-2.547246002
6.27,12,control,4,0,0,0,0,9.988230156,2.011769844
4.24,19,anger,3,1,0,4.24,0,21.29956466,-2.299564658
2.78,7,control,2,0,0,0,0,7.853299067,-0.853299067
2.91,22,anger,2,1,0,2.91,0,18.57270352,3.427296484
3.04,23,fear,2,0,1,0,3.04,20.32631342,2.673686585
1.61,15,anger,1,1,0,1.61,0,15.90735052,-0.907350519
6.81,11,control,4,0,0,0,0,10.31856333,0.681436667
3.29,4,control,2,0,0,0,0,8.165280401,-4.165280401
3.44,17,fear,2,0,1,0,3.44,20.90086993,-3.900869927
5.1,16,anger,4,1,0,5.1,0,23.06279818,-7.062798179
3.88,22,anger,3,1,0,3.88,0,20.56146691,1.438533095
3.96,21,fear,3,0,1,0,3.96,21.64779339,-0.647793391
3.29,19,fear,2,0,1,0,3.29,20.68541123,-1.685411235
2.55,17,anger,1,1,0,2.55,0,17.83460576,-0.834605763
4.57,20,fear,3,0,1,0,4.57,22.52399207,-2.523992071
5.1,25,fear,4,0,1,0,5.1,23.28527945,1.714720551
7.01,7,control,4,0,0,0,0,10.44090895,-3.440908954
5.12,25,anger,4,1,0,5.12,0,23.10380361,1.89619639
3.97,5,control,3,0,0,0,0,8.581255513,-3.581255513
2.51,23,fear,1,0,1,0,2.51,19.56502604,3.434973962
6.92,28,anger,4,1,0,6.92,0,26.79429237,1.205707625
4.52,9,control,3,0,0,0,0,8.917705971,0.082294029
4.27,4,control,3,0,0,0,0,8.764773945,-4.764773945
1.5,18,fear,1,0,1,0,1.5,18.11427085,-0.114270847
6.46,8,control,4,0,0,0,0,10.1044585,-2.104458496
3.4,16,fear,2,0,1,0,3.4,20.84341428,-4.843414276
3.56,6,control,2,0,0,0,0,8.33044699,-2.33044699
2.19,11,control,1,0,0,0,0,7.492379485,3.507620515
