pretest,program,posttest
3.61004294,writing,11.13956784
2.255703546,writing,6.937146834
0.45722834,standard,4.987124797
1.986704212,standard,8.542940042
1.952822205,reading,5.106765874
3.040243458,writing,9.374630345
2.137717513,standard,8.390965965
2.394799671,standard,9.665571601
1.063173462,standard,7.39239343
2.284679578,standard,7.968010853
1.670296014,reading,4.710241271
0.600904255,standard,3.398549588
-0.074702066,writing,-0.272931209
2.445106447,reading,6.220427191
2.290631069,writing,6.561991956
1.227014064,reading,4.172560177
2.516030471,reading,6.765812438
3.310710041,writing,10.71395186
1.567240075,standard,4.061528668
3.364001607,reading,10.04409674
2.312740476,writing,7.985774214
-0.28954449,writing,-0.164486526
2.277005292,reading,6.221350341
0.596113044,standard,4.314769607
2.961048967,standard,10.53790422
2.96548806,reading,6.348545311
0.960225184,reading,3.64992504
2.05860144,standard,7.58489124
1.867970519,standard,9.231147894
2.250105534,reading,6.746871668
0.66499753,writing,2.789242288
2.821745012,writing,9.45015531
3.229335396,writing,10.77306693
3.84327132,writing,11.92193144
2.424852952,writing,8.56835211
2.679229471,writing,9.466488857
2.000047345,standard,7.780815596
2.023008479,reading,6.872092521
2.532654045,reading,5.696555593
0.886774659,standard,4.105711302
2.025088904,standard,6.361444987
0.522304498,standard,4.17246348
1.891068386,writing,5.59122465
2.564984642,writing,9.004013359
1.176628764,standard,6.777784822
0.2999946,standard,3.63163669
2.1673555,standard,7.62931014
2.528527968,writing,8.124212762
2.162985908,standard,7.374833881
1.580468557,standard,4.686102224
1.552063176,reading,5.56617309
1.722468768,standard,6.335784005
3.210436499,standard,12.53788081
1.908099099,writing,7.932113017
2.33563973,standard,10.3387147
0.569764853,writing,1.672094978
3.593041487,reading,10.53645405
3.640799293,reading,7.977826171
2.563606598,standard,10.90181155
1.649718488,reading,6.065998381
2.377164819,standard,9.935461195
1.672331383,reading,4.779644527
1.512849576,standard,6.934684426
0.706729585,standard,4.593949322
2.934787434,reading,9.07570965
2.485979246,reading,9.014010243
2.072594358,writing,7.145118442
2.441293094,writing,7.166301983
2.031640463,writing,6.095668846
1.187001713,reading,4.722464503
2.526470461,reading,6.168107171
3.539869673,reading,12.20539096
2.713265778,reading,8.285173009
0.279049577,reading,0.416984576
0.714090947,reading,3.384396263
1.667258645,standard,6.381746549
2.990332946,writing,9.645083248
2.526687675,reading,7.744509911
1.418225901,standard,4.478555922
2.137778426,standard,9.275280611
2.537011865,reading,9.261618216
1.342286355,reading,3.42912569
2.436568077,reading,9.052664269
2.727787818,reading,10.8313189
1.674328465,writing,2.81398909
3.209745364,writing,10.21934863
2.637614426,reading,7.92408385
2.15144454,writing,7.38816248
2.454719358,reading,7.319181757
2.756760112,reading,7.478241415
1.788161352,reading,4.642776634
3.66106126,reading,12.93012435
0.886206315,writing,4.576314632
0.932427078,standard,4.245391374
1.377506776,reading,2.362738089
1.141125491,writing,5.335431995
2.007343005,standard,9.773474167
2.634740078,standard,10.42283744
0.410385435,standard,1.3615132
1.610047899,reading,3.981395102
1.713116185,reading,5.6696575
1.841245597,writing,6.288709173
2.634278568,writing,9.49628549
3.671693062,writing,11.19950195
2.839941175,writing,8.659969384
1.564507854,writing,4.950000165
1.805468615,standard,7.879325182
1.380940169,writing,3.732990752
1.563957104,writing,6.401347883
2.168771942,reading,7.31192682
2.631339816,standard,10.63548947
0.694077738,standard,4.457728157
3.235621389,standard,10.16732692
0.668919385,writing,3.959852026
-0.481008688,writing,0.660983854
2.660912861,reading,8.456080425
2.302326265,reading,7.467867358
3.041131862,standard,10.10452473
4.370441261,reading,13.50249468
1.493133858,writing,6.099586654
3.174208093,reading,10.20654331
3.874428479,reading,12.06626137
0.91223399,standard,4.412549182
1.339247895,standard,6.431327878
2.350538695,writing,8.027771135
1.154990381,standard,5.362092498
0.402565189,standard,5.772666002
2.347134903,writing,6.873514654
1.946570169,writing,5.21421248
1.945158096,standard,8.036906485
2.60484257,standard,8.404939136
2.402962809,reading,4.907710015
1.715505841,standard,8.151600941
3.639666318,writing,10.60565343
2.512408629,writing,10.40124606
2.385785865,reading,6.900200095
0.337742607,writing,2.521474575
2.626464643,reading,6.471471691
3.374051053,writing,8.833353906
4.373101881,writing,13.855958
2.101097095,standard,7.506178559
3.485234884,reading,8.551111813
2.237940151,standard,10.51326605
2.950375318,writing,9.362327173
2.941814107,writing,9.538539666
1.563702122,standard,5.031077557
2.558196783,reading,8.226992475
2.163318425,writing,7.814099817
1.235134623,reading,3.011393542
-0.214490513,writing,0.23579483
