income,university,dropout
16833.09,pisa,0
4002.53,pisa,0
16905.84,pisa,0
11836.94,pisa,0
11935,pisa,0
2015.45,pisa,1
2249.31,pisa,0
6346.75,pisa,0
10043.2,pisa,0
10738.14,pisa,0
19329.49,pisa,0
6040.1,pisa,0
13812.38,pisa,0
9426.19,pisa,1
2688.7,pisa,0
140.85,pisa,0
14062.11,pisa,0
19485.96,pisa,0
4449.47,pisa,0
12451.95,pisa,0
4362.05,pisa,0
3758.05,pisa,0
7711.7,pisa,0
13568.72,pisa,0
111.87,pisa,0
268.29,pisa,0
7482.93,pisa,0
10052.94,pisa,0
5430.89,pisa,0
18875.8,pisa,0
9329.79,pisa,0
2292.99,pisa,0
12368.02,pisa,0
13392.35,pisa,0
18905.02,pisa,0
2748.12,pisa,0
10626.11,pisa,0
13473.67,pisa,0
14431.3,pisa,0
5529.27,pisa,0
9825.21,pisa,0
12980.25,pisa,0
16670.93,pisa,0
13839.28,pisa,0
8024.39,pisa,0
5408.54,pisa,0
8218.9,pisa,0
9609.79,pisa,0
9227.81,pisa,0
4496.31,pisa,0
11475.14,pisa,0
4508.92,pisa,0
3644,pisa,0
4388.18,pisa,0
14668.39,pisa,0
10892.46,pisa,0
8647.97,pisa,0
6512.3,pisa,0
9993.46,pisa,0
7642.6,pisa,1
13043.63,pisa,0
12235.45,pisa,0
12222.23,pisa,0
13081.71,pisa,0
18313.46,pisa,0
8603.43,pisa,0
7417.12,pisa,0
18975.33,pisa,1
14862.2,pisa,0
2099.36,pisa,0
3550.88,pisa,0
949.62,pisa,0
8405.64,pisa,0
9408.74,pisa,0
10728.46,pisa,0
3293.8,pisa,0
8387.59,pisa,1
15550.81,pisa,0
6122.47,pisa,0
14571.19,pisa,0
10745.81,pisa,0
9956.1,pisa,0
8559.05,pisa,0
12757.32,pisa,0
10045.88,pisa,0
7165.85,pisa,1
9430,pisa,0
19969.5,pisa,0
12013.98,pisa,0
13805.73,pisa,0
6871.58,pisa,0
10419.72,pisa,0
12165.91,pisa,0
2237.48,pisa,0
18281.08,pisa,0
7776.8,pisa,0
10187.34,pisa,0
5700.61,pisa,0
14250.81,pisa,0
7906.59,pisa,0
16493.41,pisa,0
18974.93,pisa,1
8969.61,pisa,0
7768.02,pisa,0
7824.2,pisa,0
6174.18,pisa,1
13400.92,pisa,0
6074.15,pisa,0
9685.79,pisa,0
8858.94,pisa,0
7757.89,pisa,0
14402.21,pisa,0
14296.98,pisa,0
17158.07,pisa,0
15046.6,pisa,0
9623.33,pisa,0
5494.9,pisa,0
16572.23,pisa,0
13676.5,pisa,0
9030.81,pisa,0
18462.92,pisa,0
4614.66,pisa,0
14054.15,pisa,1
11133.01,pisa,0
11394.31,pisa,1
11317.56,pisa,0
15657.97,pisa,0
4994.39,pisa,0
12367.25,pisa,0
10980.56,pisa,0
10656.02,pisa,0
8752.85,pisa,0
9126.89,pisa,0
14830.35,pisa,0
18075.09,pisa,0
7406.56,pisa,0
12599.02,pisa,0
3008.13,pisa,0
5246.6,pisa,0
6873.17,pisa,0
11795.7,pisa,0
11142.68,pisa,0
7157.8,pisa,0
14234.96,pisa,0
2941.08,pisa,0
4094.46,pisa,0
4732.52,pisa,0
11781.26,pisa,0
12236.01,pisa,0
8743.6,pisa,1
15945.07,pisa,0
11959.8,pisa,0
4010.75,pisa,0
19484.16,pisa,0
4100.84,pisa,0
12267.99,pisa,0
5010.99,pisa,0
15723.76,pisa,1
17596.18,pisa,0
19192.9,pisa,0
4013.38,pisa,0
9735.8,pisa,0
14985.88,pisa,0
3771.34,pisa,0
4535.54,pisa,0
129.3,pisa,0
8810.98,pisa,0
12088.28,pisa,0
14922.85,pisa,0
7648.78,pisa,1
2687.02,pisa,0
3092.92,pisa,0
3111.89,pisa,0
9912.41,pisa,1
11233.44,pisa,0
13695.83,pisa,0
2002.18,pisa,1
10490.65,pisa,0
3843.95,pisa,0
6782.11,pisa,0
7790.74,pisa,0
12419.92,pisa,0
10875.32,pisa,0
4216.18,pisa,0
7335.29,pisa,0
13830.88,pisa,1
14908.37,pisa,0
6362.97,pisa,0
19658.36,pisa,0
7704.07,pisa,0
10486.99,pisa,0
9109.35,pisa,0
13060.98,pisa,0
9744.78,pisa,0
11045.8,pisa,0
11392.11,pisa,1
6901.8,pisa,0
10991.06,pisa,0
17164.74,pisa,0
16768.7,pisa,0
16263.93,pisa,0
19584.21,pisa,1
10137.77,pisa,0
12342.83,pisa,0
5216.16,pisa,0
13141.52,pisa,0
10322.36,pisa,0
15588.81,pisa,0
13067.71,pisa,0
6463.61,pisa,0
9125.64,pisa,0
13585.78,pisa,0
3864.51,pisa,0
8373.03,pisa,0
10433.81,pisa,0
15731.3,pisa,0
8382.84,pisa,0
14045.35,pisa,0
14708.54,pisa,0
3925.13,pisa,0
8921.3,pisa,0
3993.48,pisa,0
11478.41,pisa,0
12629.26,pisa,1
5789.85,pisa,0
14663.73,pisa,0
15365.29,pisa,0
12550.82,pisa,0
19968.6,pisa,0
11595.52,pisa,0
9277.24,pisa,0
17456.28,pisa,0
12910.96,pisa,0
7473.79,pisa,0
19325.49,pisa,0
8199.36,pisa,1
14.74,pisa,0
4752.63,pisa,0
6304.62,pisa,0
3114.71,pisa,0
16862.9,pisa,0
15335.71,pisa,0
13355.66,pisa,0
3930.49,pisa,0
9584.77,pisa,1
13490.79,pisa,0
3849.52,pisa,0
6763.73,pisa,0
16157.39,pisa,0
17344.64,pisa,0
14937.8,pisa,0
19240.5,pisa,0
14599.64,pisa,0
13231.81,pisa,0
18062.81,pisa,1
12210.39,pisa,0
4629.05,pisa,0
5761.76,pisa,0
13018.63,pisa,0
17771.08,pisa,0
10256.4,pisa,0
61.54,pisa,0
9832.82,pisa,0
4530.63,pisa,1
5799.55,pisa,0
15711.38,pisa,0
14999.19,pisa,1
12749.16,pisa,0
7205.83,pisa,0
1724.94,pisa,0
11442.51,pisa,0
14651.72,pisa,1
14408.05,pisa,0
6151.81,pisa,0
5130.08,pisa,0
15703.53,pisa,1
5077.24,pisa,0
10844.14,pisa,0
3535.77,pisa,0
16166.56,pisa,0
9840.08,pisa,0
11294.96,pisa,0
4017.54,pisa,0
7257.82,pisa,0
3896.25,pisa,0
11233,pisa,0
12599.02,pisa,0
8943.65,pisa,0
9011.18,pisa,0
9847.97,pisa,1
18907.19,pisa,0
6570.24,pisa,0
17885.37,pisa,0
17885.37,pisa,0
14831.24,pisa,0
1728.92,pisa,0
4866.88,pisa,0
15791,pisa,1
7524.02,pisa,0
12020.76,pisa,0
6447.15,pisa,0
6560.9,pisa,0
6098.37,pisa,0
9552.03,pisa,0
13030,pisa,0
8456.42,pisa,0
4806.61,pisa,0
12413.12,pisa,0
2783.75,pisa,0
15028.67,pisa,0
11861.61,pisa,0
2429.67,pisa,0
10182.52,pisa,0
12086.63,pisa,0
3134.04,pisa,0
4590.53,pisa,1
11506.91,pisa,1
