gender,treatment,allocPct
male,similar,55
male,dissimilar,90
male,unknown,50
male,similar,50
male,dissimilar,65
male,unknown,50
male,similar,50
male,dissimilar,85
male,unknown,65
male,similar,50
male,dissimilar,70
male,unknown,55
male,similar,45
male,dissimilar,75
male,unknown,80
male,similar,55
male,dissimilar,85
male,unknown,85
male,similar,45
male,dissimilar,80
male,unknown,80
male,similar,60
male,dissimilar,60
male,unknown,60
male,similar,50
male,dissimilar,90
male,unknown,45
male,similar,55
male,dissimilar,95
male,unknown,75
male,similar,55
male,dissimilar,70
male,unknown,55
male,similar,45
male,dissimilar,85
male,unknown,55
male,similar,55
male,dissimilar,75
male,unknown,85
male,similar,70
male,dissimilar,95
male,unknown,80
male,similar,55
male,dissimilar,50
male,unknown,70
female,similar,50
female,dissimilar,65
female,unknown,35
female,similar,75
female,dissimilar,100
female,unknown,45
female,similar,55
female,dissimilar,90
female,unknown,60
female,similar,50
female,dissimilar,90
female,unknown,50
female,similar,75
female,dissimilar,90
female,unknown,60
female,similar,50
female,dissimilar,70
female,unknown,40
female,similar,35
female,dissimilar,85
female,unknown,45
female,similar,60
female,dissimilar,70
female,unknown,60
female,similar,45
female,dissimilar,85
female,unknown,60
female,similar,65
female,dissimilar,75
female,unknown,45
female,similar,45
female,dissimilar,85
female,unknown,55
female,similar,55
female,dissimilar,80
female,unknown,45
female,similar,40
female,dissimilar,85
female,unknown,40
female,similar,25
female,dissimilar,80
female,unknown,30
female,similar,60
female,dissimilar,75
female,unknown,50
